segmentnr	original	folio	analyzed
ZH_X56_0949_047:0936a19	閑居編第四十七	047	閑 居 編 第 四 十 七 
ZH_X56_0949_047:0936a21	宋孤山沙門　智圓　著	047	宋 孤 山 沙 門  智 圓  著 
ZH_X56_0949_047:0936a22	寄雪竇長老	047	寄 雪 竇 長 老 
ZH_X56_0949_047:0936a23	　絕頂久潛隱　　心閑道更真　　山深林下雪	047	 絕 頂 久 潛 隱   心 閑 道 更 真   山 深 林 下 雪 
ZH_X56_0949_047:0936a24	　堂靜晝無人　　雲抱看經石　　禽接入定身	047	 堂 靜 晝 無 人   雲 抱 看 經 石   禽 接 入 定 身 
ZH_X56_0949_047:0936b01	　敢言他世約　　安養願相親(師求淨土予志頗同故云爾)	047	 敢 言 他 世 約   安 養 願 相 親  師 求 淨 土 予 志 頗 同 故 云 爾  
ZH_X56_0949_047:0936b02	君復處士栖大師夙有翫月泛湖之約予以	047	君 復 處 士 栖 大 師 夙 有 翫 月 泛 湖 之 約 予 以 
ZH_X56_0949_047:0936b03	臥病致爽前期因為此章聊以道意	047	臥 病 致 爽 前 期 因 為 此 章 聊 以 道 意 
ZH_X56_0949_047:0936b04	　涼風吹眾木　　羸病轉加前　　伏枕誰相問	047	 涼 風 吹 眾 木   羸 病 轉 加 前   伏 枕 誰 相 問 
ZH_X56_0949_047:0936b05	　中秋月又圓　　清光浮遠嶠　　冷色混平川	047	 中 秋 月 又 圓   清 光 浮 遠 嶠   冷 色 混 平 川 
ZH_X56_0949_047:0936b06	　不得同支許　　乘舟樂浩然	047	 不 得 同 支 許   乘 舟 樂 浩 然 
ZH_X56_0949_047:0936b07	寄西山智道人	047	寄 西 山 智 道 人 
ZH_X56_0949_047:0936b08	　淨業修持久　　攀緣念已摧　　冰潭殘月在	047	 淨 業 修 持 久   攀 緣 念 已 摧   冰 潭 殘 月 在 
ZH_X56_0949_047:0936b09	　古岸夜禪回　　像燭微留燄　　爐香冷變灰	047	 古 岸 夜 禪 回   像 燭 微 留 燄   爐 香 冷 變 灰 
ZH_X56_0949_047:0936b10	　時逢舊參侶　　閑坐話黃梅	047	 時 逢 舊 參 侶   閑 坐 話 黃 梅 
ZH_X56_0949_047:0936b11	寄慧雲大師	047	寄 慧 雲 大 師 
ZH_X56_0949_047:0936b12	　繁華辭帝輦　　岑寂戀山林　　志向浮名淡	047	 繁 華 辭 帝 輦   岑 寂 戀 山 林   志 向 浮 名 淡 
ZH_X56_0949_047:0936b13	　房扃古寺深　　詩窻來皓月　　齋磬下幽禽	047	 房 扃 古 寺 深   詩 窻 來 皓 月   齋 磬 下 幽 禽 
ZH_X56_0949_047:0936b14	　終約逢新雪　　閑過話靜心	047	 終 約 逢 新 雪   閑 過 話 靜 心 
ZH_X56_0949_047:0936b15	寄海慧大師	047	寄 海 慧 大 師 
ZH_X56_0949_047:0936b16	　雲門卜深隱　　誰復繼高蹤　　舊寺拋雙闕	047	 雲 門 卜 深 隱   誰 復 繼 高 蹤   舊 寺 拋 雙 闕 
ZH_X56_0949_047:0936b17	　新題咏十峯　　(大師有雲門十峯詠)　　禪開杉逕月	047	 新 題 咏 十 峯    大 師 有 雲 門 十 峯 詠    禪 開 杉 逕 月 
ZH_X56_0949_047:0936b18	　講候雪樓鐘　　莫怪相尋晚　　嵆康性本慵	047	 講 候 雪 樓 鐘   莫 怪 相 尋 晚   嵆 康 性 本 慵 
ZH_X56_0949_047:0936b19	洞霄宮	047	洞 霄 宮 
ZH_X56_0949_047:0936b20	　蕭灑絕塵跡　　虗廊畵列仙　　洞靈潛徹海	047	 蕭 灑 絕 塵 跡   虗 廊 畵 列 仙   洞 靈 潛 徹 海 
ZH_X56_0949_047:0936b21	　山峭欲奔天　　松古巢高鶴　　庭閑湧異泉	047	 山 峭 欲 奔 天   松 古 巢 高 鶴   庭 閑 湧 異 泉 
ZH_X56_0949_047:0936b22	　長生如有術　　誰復歎流年	047	 長 生 如 有 術   誰 復 歎 流 年 
ZH_X56_0949_047:0936b23	久病	047	久 病 
ZH_X56_0949_047:0936b24	　五月茆堂臥　　窮秋疾未除　　喬林葉盡落	047	 五 月 茆 堂 臥   窮 秋 疾 未 除   喬 林 葉 盡 落 
ZH_X56_0949_047:0936c01	　舊識分皆疎　　講室縈蛛網　　書床長蠧魚	047	 舊 識 分 皆 疎   講 室 縈 蛛 網   書 床 長 蠧 魚 
ZH_X56_0949_047:0936c02	　醫王有妙藥　　飲了萬緣虗	047	 醫 王 有 妙 藥   飲 了 萬 緣 虗 
