segmentnr	original	folio	analyzed
ZH_X56_0949_045:0931c13	閑居編第四十五	045	閑 居 編 第 四 十 五 
ZH_X56_0949_045:0931c15	宋孤山沙門　智圓　著	045	宋 孤 山 沙 門  智 圓  著 
ZH_X56_0949_045:0931c16	陳宮	045	陳 宮 
ZH_X56_0949_045:0931c17	　龍盤虎踞景堪尋　　王氣消亡信禍淫	045	 龍 盤 虎 踞 景 堪 尋   王 氣 消 亡 信 禍 淫 
ZH_X56_0949_045:0931c18	　結綺臨春何處是　　數聲啼鳥暮煙深	045	 結 綺 臨 春 何 處 是   數 聲 啼 鳥 暮 煙 深 
ZH_X56_0949_045:0931c19	春日別同志	045	春 日 別 同 志 
ZH_X56_0949_045:0931c20	　路岐南北與東西　　竚立遲遲惜解擕	045	 路 岐 南 北 與 東 西   竚 立 遲 遲 惜 解 擕 
ZH_X56_0949_045:0931c21	　忍向離亭折楊柳　　晚花零落杜鵑啼	045	 忍 向 離 亭 折 楊 柳   晚 花 零 落 杜 鵑 啼 
ZH_X56_0949_045:0931c22	夏日湖上寄太白長老	045	夏 日 湖 上 寄 太 白 長 老 
ZH_X56_0949_045:0931c23	　風撼芙蕖入座香　　水軒閑坐趣何長	045	 風 撼 芙 蕖 入 座 香   水 軒 閑 坐 趣 何 長 
ZH_X56_0949_045:0931c24	　相懷不是人間景　　隔岸歸禽噪晚涼	045	 相 懷 不 是 人 間 景   隔 岸 歸 禽 噪 晚 涼 
ZH_X56_0949_045:0932a01	西湖	045	西 湖 
ZH_X56_0949_045:0932a02	　清帶月華涵竹戶　　冷澄秋色照禪衣	045	 清 帶 月 華 涵 竹 戶   冷 澄 秋 色 照 禪 衣 
ZH_X56_0949_045:0932a03	　滔滔潤物知多少　　極目寒波瀁落暉	045	 滔 滔 潤 物 知 多 少   極 目 寒 波 瀁 落 暉 
ZH_X56_0949_045:0932a04	送禪者	045	送 禪 者 
ZH_X56_0949_045:0932a05	　祖意曾明萬事閑　　誰云方外與人間	045	 祖 意 曾 明 萬 事 閑   誰 云 方 外 與 人 間 
