segmentnr	original	folio	analyzed
ZH_X56_0949_045:0932a06	　卷衣江上秋來別　　處處禪心朵朵山	045	 卷 衣 江 上 秋 來 別   處 處 禪 心 朵 朵 山 
ZH_X56_0949_045:0932a07	古意	045	古 意 
ZH_X56_0949_045:0932a08	　登山伐樵柯忽折　　臨井汲泉綆仍絕	045	 登 山 伐 樵 柯 忽 折   臨 井 汲 泉 綆 仍 絕 
ZH_X56_0949_045:0932a09	　音信不來無處說　　朔風飄飄滿天雪	045	 音 信 不 來 無 處 說   朔 風 飄 飄 滿 天 雪 
ZH_X56_0949_045:0932a10	雲	045	雲 
ZH_X56_0949_045:0932a11	　冷照碧潭閑不極　　靜當青漢影彌分	045	 冷 照 碧 潭 閑 不 極   靜 當 青 漢 影 彌 分 
ZH_X56_0949_045:0932a12	　卷舒終合為霖雨　　不向陽臺惑楚君	045	 卷 舒 終 合 為 霖 雨   不 向 陽 臺 惑 楚 君 
ZH_X56_0949_045:0932a13	苔錢三首	045	苔 錢 三 首 
ZH_X56_0949_045:0932a14	　夷甫不言非爾類　　魯褒為論偶同名	045	 夷 甫 不 言 非 爾 類   魯 褒 為 論 偶 同 名 
ZH_X56_0949_045:0932a15	　秋來自滿虗閑地　　不用良工鼓鑄成	045	 秋 來 自 滿 虗 閑 地   不 用 良 工 鼓 鑄 成 
ZH_X56_0949_045:0932a16	其一	045	其 一 
ZH_X56_0949_045:0932a17	　求多未必增貪競　　委積唯堪貰寂寥	045	 求 多 未 必 增 貪 競   委 積 唯 堪 貰 寂 寥 
ZH_X56_0949_045:0932a18	　顏子黔婁舊居畔　　亂鋪平地伴逍遙	045	 顏 子 黔 婁 舊 居 畔   亂 鋪 平 地 伴 逍 遙 
ZH_X56_0949_045:0932a19	其二	045	其 二 
ZH_X56_0949_045:0932a20	　鑪冶只應憑陋巷　　富饒應不是豪家	045	 鑪 冶 只 應 憑 陋 巷   富 饒 應 不 是 豪 家 
ZH_X56_0949_045:0932a21	　晚來雨歇茆堂外　　散在閑庭買落花	045	 晚 來 雨 歇 茆 堂 外   散 在 閑 庭 買 落 花 
ZH_X56_0949_045:0932a22	其三	045	其 三 
ZH_X56_0949_045:0932a23	自遣三首	045	自 遣 三 首 
ZH_X56_0949_045:0932a24	　古屋苔荒疾乍瘳　　前村林木覺先秋	045	 古 屋 苔 荒 疾 乍 瘳   前 村 林 木 覺 先 秋 
ZH_X56_0949_045:0932b01	　野塘日暮搘笻立　　雲自無依水自流	045	 野 塘 日 暮 搘 笻 立   雲 自 無 依 水 自 流 
ZH_X56_0949_045:0932b02	其一	045	其 一 
ZH_X56_0949_045:0932b03	　講退時時學苦吟　　人間聲利已無心	045	 講 退 時 時 學 苦 吟   人 間 聲 利 已 無 心 
ZH_X56_0949_045:0932b04	　水邊占得清閑景　　雨霽遙峰夜月深	045	 水 邊 占 得 清 閑 景   雨 霽 遙 峰 夜 月 深 
ZH_X56_0949_045:0932b05	其二	045	其 二 
ZH_X56_0949_045:0932b06	　不惑年猶欠四年　　道情高趣恥前賢	045	 不 惑 年 猶 欠 四 年   道 情 高 趣 恥 前 賢 
ZH_X56_0949_045:0932b07	　清風明月知多少　　謾學廬山種白蓮	045	 清 風 明 月 知 多 少   謾 學 廬 山 種 白 蓮 
ZH_X56_0949_045:0932b08	其三	045	其 三 
ZH_X56_0949_045:0932b09	送僧	045	送 僧 
ZH_X56_0949_045:0932b10	　萬緣難繫自由身　　道性何妨學世人	045	 萬 緣 難 繫 自 由 身   道 性 何 妨 學 世 人 
ZH_X56_0949_045:0932b11	　擬向東門贈離別　　長堤楊柳未成春	045	 擬 向 東 門 贈 離 別   長 堤 楊 柳 未 成 春 
ZH_X56_0949_045:0932b12	庭竹	045	庭 竹 
ZH_X56_0949_045:0932b13	　移去羣花種此君　　滿庭寒翠更無塵	045	 移 去 羣 花 種 此 君   滿 庭 寒 翠 更 無 塵 
ZH_X56_0949_045:0932b14	　暑天閑遶煩襟盡　　猶有清風借四鄰	045	 暑 天 閑 遶 煩 襟 盡   猶 有 清 風 借 四 鄰 
ZH_X56_0949_045:0932b15	雞	045	雞 
ZH_X56_0949_045:0932b16	　簷前棲息傍蒿叢　　風雨司晨爾有功	045	 簷 前 棲 息 傍 蒿 叢   風 雨 司 晨 爾 有 功 
ZH_X56_0949_045:0932b17	　鸚鵡無能憑佞舌　　侯門翻得養金籠	045	 鸚 鵡 無 能 憑 佞 舌   侯 門 翻 得 養 金 籠 
ZH_X56_0949_045:0932b18	送僧之金陵	045	送 僧 之 金 陵 
ZH_X56_0949_045:0932b19	　金錫孤攜問去程　　萋萋原草暮煙平	045	 金 錫 孤 攜 問 去 程   萋 萋 原 草 暮 煙 平 
ZH_X56_0949_045:0932b20	　六朝舊跡秦淮畔　　應感興亡聽水聲	045	 六 朝 舊 跡 秦 淮 畔   應 感 興 亡 聽 水 聲 
ZH_X56_0949_045:0932b21	出道場山途中作	045	出 道 場 山 途 中 作 
ZH_X56_0949_045:0932b22	　獨下層巒景物秋　　依依雲木似相留	045	 獨 下 層 巒 景 物 秋   依 依 雲 木 似 相 留 
ZH_X56_0949_045:0932b23	　孤舟曉汎平波去　　更為青山一轉頭	045	 孤 舟 曉 汎 平 波 去   更 為 青 山 一 轉 頭 
ZH_X56_0949_045:0932b24	將之霅溪寄別擇梧師	045	將 之 霅 溪 寄 別 擇 梧 師 
ZH_X56_0949_045:0932c01	　白雲深處草堂閑　　曾伴支公薄暮還	045	 白 雲 深 處 草 堂 閑   曾 伴 支 公 薄 暮 還 
ZH_X56_0949_045:0932c02	　獨上孤舟欲西去　　倚檣迴望只青山	045	 獨 上 孤 舟 欲 西 去   倚 檣 迴 望 只 青 山 
ZH_X56_0949_045:0932c03	寄淨慈寺悟真師	045	寄 淨 慈 寺 悟 真 師 
ZH_X56_0949_045:0932c04	　憶得涼宵宿上方　　靜吟閑話趣何長	045	 憶 得 涼 宵 宿 上 方   靜 吟 閑 話 趣 何 長 
ZH_X56_0949_045:0932c05	　別來音信無由寄　　目斷遙天鴈一行	045	 別 來 音 信 無 由 寄   目 斷 遙 天 鴈 一 行 
ZH_X56_0949_045:0932c06	次韻詶梵天闍梨	045	次 韻 詶 梵 天 闍 梨 
ZH_X56_0949_045:0932c07	　數峰殘雪對閑門　　世態悠悠莫可論	045	 數 峰 殘 雪 對 閑 門   世 態 悠 悠 莫 可 論 
ZH_X56_0949_045:0932c08	　靜室禪餘忽相憶　　劃灰孤坐到黃昏	045	 靜 室 禪 餘 忽 相 憶   劃 灰 孤 坐 到 黃 昏 
ZH_X56_0949_045:0932c09	溪居即事寄梵天闍梨	045	溪 居 即 事 寄 梵 天 闍 梨 
ZH_X56_0949_045:0932c10	　松竹森森獨掩扉　　塵中誰復愛忘機	045	 松 竹 森 森 獨 掩 扉   塵 中 誰 復 愛 忘 機 
ZH_X56_0949_045:0932c11	　蒼苔滿砌無人到　　猶感幽禽夜夜歸	045	 蒼 苔 滿 砌 無 人 到   猶 感 幽 禽 夜 夜 歸 
ZH_X56_0949_045:0932c12	武康溪居即事寄寶印大師四首	045	武 康 溪 居 即 事 寄 寶 印 大 師 四 首 
ZH_X56_0949_045:0932c13	　偶來溪上縱閑吟　　泉石深藏便有心	045	 偶 來 溪 上 縱 閑 吟   泉 石 深 藏 便 有 心 
ZH_X56_0949_045:0932c14	　莫擬他年訪幽跡　　白雲青嶂更難尋	045	 莫 擬 他 年 訪 幽 跡   白 雲 青 嶂 更 難 尋 
ZH_X56_0949_045:0932c15	其一	045	其 一 
ZH_X56_0949_045:0932c16	　月下猿聲水畔山　　臥聽吟望只宜閑	045	 月 下 猿 聲 水 畔 山   臥 聽 吟 望 只 宜 閑 
ZH_X56_0949_045:0932c17	　柴門不掩無來客　　時有精靈暫往還	045	 柴 門 不 掩 無 來 客   時 有 精 靈 暫 往 還 
ZH_X56_0949_045:0932c18	其二	045	其 二 
ZH_X56_0949_045:0932c19	　世路驅驅又白頭　　爭如閑臥絕他求	045	 世 路 驅 驅 又 白 頭   爭 如 閑 臥 絕 他 求 
ZH_X56_0949_045:0932c20	　門前荒隴依依在　　碑折松枯盡列侯	045	 門 前 荒 隴 依 依 在   碑 折 松 枯 盡 列 侯 
ZH_X56_0949_045:0932c21	其三	045	其 三 
ZH_X56_0949_045:0932c22	　禪外相懷雪乍晴　　音書早晚到柴扃	045	 禪 外 相 懷 雪 乍 晴   音 書 早 晚 到 柴 扃 
ZH_X56_0949_045:0932c23	　殘陽獨倚危樓望　　極目山光數點青	045	 殘 陽 獨 倚 危 樓 望   極 目 山 光 數 點 青 
ZH_X56_0949_045:0932c24	其四	045	其 四 
ZH_X56_0949_045:0933a01	瑪瑙院居戲題三首	045	瑪 瑙 院 居 戲 題 三 首 
ZH_X56_0949_045:0933a02	　水邊閑臥萬緣休　　言欲無瑕行欲修	045	 水 邊 閑 臥 萬 緣 休   言 欲 無 瑕 行 欲 修 
ZH_X56_0949_045:0933a03	　草屋衡門任窮困　　屠龍終自勝屠牛	045	 草 屋 衡 門 任 窮 困   屠 龍 終 自 勝 屠 牛 
ZH_X56_0949_045:0933a04	其一	045	其 一 
ZH_X56_0949_045:0933a05	　湖光淡淡涵幽戶　　苔色依依滿破廊	045	 湖 光 淡 淡 涵 幽 戶   苔 色 依 依 滿 破 廊 
ZH_X56_0949_045:0933a06	　寂寞便同夫子廟　　更無流俗入焚香	045	 寂 寞 便 同 夫 子 廟   更 無 流 俗 入 焚 香 
ZH_X56_0949_045:0933a07	其二	045	其 二 
ZH_X56_0949_045:0933a08	　白傳湖西瑪瑙坡　　軒牕蕭灑瀁煙波	045	 白 傳 湖 西 瑪 瑙 坡   軒 牕 蕭 灑 瀁 煙 波 
ZH_X56_0949_045:0933a09	　講餘終日焚香坐　　毀譽榮枯柰我何	045	 講 餘 終 日 焚 香 坐   毀 譽 榮 枯 柰 我 何 
ZH_X56_0949_045:0933a10	其三	045	其 三 
ZH_X56_0949_045:0933a11	予近卜居孤山之下友人元敏以四絕見嘲	045	予 近 卜 居 孤 山 之 下 友 人 元 敏 以 四 絕 見 嘲 
ZH_X56_0949_045:0933a12	遂依韻和詶	045	遂 依 韻 和 詶 
ZH_X56_0949_045:0933a13	　窮居已躡黔婁跡　　孤島徒稱瑪瑙坡	045	 窮 居 已 躡 黔 婁 跡   孤 島 徒 稱 瑪 瑙 坡 
ZH_X56_0949_045:0933a14	　糗飯蔾羮且閑樂　　更無車馬暫經過	045	 糗 飯 蔾 羮 且 閑 樂   更 無 車 馬 暫 經 過 
ZH_X56_0949_045:0933a15	其一	045	其 一 
ZH_X56_0949_045:0933a16	　所棲幽致異人寰　　野艇秋歸碧浪間	045	 所 棲 幽 致 異 人 寰   野 艇 秋 歸 碧 浪 間 
ZH_X56_0949_045:0933a17	　殘日淡煙凝望處　　參差樓閣認孤山	045	 殘 日 淡 煙 凝 望 處   參 差 樓 閣 認 孤 山 
ZH_X56_0949_045:0933a18	其二	045	其 二 
ZH_X56_0949_045:0933a19	　煙波雲木映閑扉　　養病深棲是所宜	045	 煙 波 雲 木 映 閑 扉   養 病 深 棲 是 所 宜 
ZH_X56_0949_045:0933a20	　便欲上生尋內院　　却因泉石住多時	045	 便 欲 上 生 尋 內 院   却 因 泉 石 住 多 時 
ZH_X56_0949_045:0933a21	其三	045	其 三 
ZH_X56_0949_045:0933a22	　虗堂入夏講殘經　　不擊鐘聲擊鼓聲	045	 虗 堂 入 夏 講 殘 經   不 擊 鐘 聲 擊 鼓 聲 
ZH_X56_0949_045:0933a23	　林下唯君問幽趣　　紀陽儀式近方成	045	 林 下 唯 君 問 幽 趣   紀 陽 儀 式 近 方 成 
ZH_X56_0949_045:0933a24	　(後漢董春字紀陽每升講堂鳴鼓三通余近斆焉)	045	  後 漢 董 春 字 紀 陽 每 升 講 堂 鳴 鼓 三 通 余 近 斆 焉  
ZH_X56_0949_045:0933b01	其四	045	其 四 
ZH_X56_0949_045:0933b02	庭鶴	045	庭 鶴 
ZH_X56_0949_045:0933b03	　支遁放君真有意　　衛公憐汝太無端	045	 支 遁 放 君 真 有 意   衛 公 憐 汝 太 無 端 
ZH_X56_0949_045:0933b04	　司晨守禦那堪用　　殷頂霜毛只好看	045	 司 晨 守 禦 那 堪 用   殷 頂 霜 毛 只 好 看 
ZH_X56_0949_045:0933b05	寄天台守能上人	045	寄 天 台 守 能 上 人 
ZH_X56_0949_045:0933b06	　台嶺林泉勝十洲　　忘機長往更無愁	045	 台 嶺 林 泉 勝 十 洲   忘 機 長 往 更 無 愁 
ZH_X56_0949_045:0933b07	　考盤高趣何人識　　招隱新題幾處留	045	 考 盤 高 趣 何 人 識   招 隱 新 題 幾 處 留 
ZH_X56_0949_045:0933b08	　深夜定迴華頂月　　經年書斷海門秋	045	 深 夜 定 迴 華 頂 月   經 年 書 斷 海 門 秋 
ZH_X56_0949_045:0933b09	　誰知抱疾西湖上　　南望雲山想勝游	045	 誰 知 抱 疾 西 湖 上   南 望 雲 山 想 勝 游 
ZH_X56_0949_045:0933b10	寄所知	045	寄 所 知 
ZH_X56_0949_045:0933b11	　寵辱不關念　　揚名日更新　　但憐吾道在	045	 寵 辱 不 關 念   揚 名 日 更 新   但 憐 吾 道 在 
ZH_X56_0949_045:0933b12	　寧顧謫官頻　　故國拋天外　　全家寄水濵	045	 寧 顧 謫 官 頻   故 國 拋 天 外   全 家 寄 水 濵 
ZH_X56_0949_045:0933b13	　堂空巢少鷰　　門冷謁無人　　直氣終干斗	045	 堂 空 巢 少 鷰   門 冷 謁 無 人   直 氣 終 干 斗 
ZH_X56_0949_045:0933b14	　剛腸肯泣麟　　逍遙輕嗣立　　乾沒笑安仁	045	 剛 腸 肯 泣 麟   逍 遙 輕 嗣 立   乾 沒 笑 安 仁 
ZH_X56_0949_045:0933b15	　愛主長思闕　　尋幽且養神　　伴閑初種竹	045	 愛 主 長 思 闕   尋 幽 且 養 神   伴 閑 初 種 竹 
ZH_X56_0949_045:0933b16	　出使舊埋輪　　佞舌終期斷　　民冤必為伸	045	 出 使 舊 埋 輪   佞 舌 終 期 斷   民 冤 必 為 伸 
ZH_X56_0949_045:0933b17	　他年修史傳　　誰可繼清塵	045	 他 年 修 史 傳   誰 可 繼 清 塵 
ZH_X56_0949_045:0933b18	題石壁山紹上人觀風亭	045	題 石 壁 山 紹 上 人 觀 風 亭 
ZH_X56_0949_045:0933b19	　界江千萬山　　石壁惟清幽　　中有忘機人	045	 界 江 千 萬 山   石 壁 惟 清 幽   中 有 忘 機 人 
ZH_X56_0949_045:0933b20	　超然樂巖丘　　創亭號觀風　　嘉景自成收	045	 超 然 樂 巖 丘   創 亭 號 觀 風   嘉 景 自 成 收 
ZH_X56_0949_045:0933b21	　群峯呈晚碧　　長溪瀉寒流　　視聽足怡情	045	 群 峯 呈 晚 碧   長 溪 瀉 寒 流   視 聽 足 怡 情 
ZH_X56_0949_045:0933b22	　萬事安能求　　甞言徂暑天　　登時疑清秋	045	 萬 事 安 能 求   甞 言 徂 暑 天   登 時 疑 清 秋 
ZH_X56_0949_045:0933b23	　雲容既冷淡　　松韻還颼飀　　擾擾九衢塵	045	 雲 容 既 冷 淡   松 韻 還 颼 飀   擾 擾 九 衢 塵 
ZH_X56_0949_045:0933b24	　誰知高靜游	045	 誰 知 高 靜 游 
ZH_X56_0949_045:0933c02	閑居編第四十五	045	閑 居 編 第 四 十 五 
