segmentnr	original	folio	analyzed
ZH_X56_0949_041:0924c10	閑居編第四十一	041	閑 居 編 第 四 十 一 
ZH_X56_0949_041:0924c12	宋孤山沙門　智圓　著	041	宋 孤 山 沙 門  智 圓  著 
ZH_X56_0949_041:0924c13	贈進士葉授	041	贈 進 士 葉 授 
ZH_X56_0949_041:0924c14	　旅跡飃然與俗分　　動時高價逐新文	041	 旅 跡 飃 然 與 俗 分   動 時 高 價 逐 新 文 
ZH_X56_0949_041:0924c15	　寄眠僧舍扃秋雨　　牽夢家山隔海雲	041	 寄 眠 僧 舍 扃 秋 雨   牽 夢 家 山 隔 海 雲 
ZH_X56_0949_041:0924c16	　學慕丘軻方共語　　道歸楊墨任離群	041	 學 慕 丘 軻 方 共 語   道 歸 楊 墨 任 離 群 
ZH_X56_0949_041:0924c17	　名場好應同人舉　　垂拱明堂有聖君	041	 名 場 好 應 同 人 舉   垂 拱 明 堂 有 聖 君 
ZH_X56_0949_041:0924c18	夏日寄諒律師	041	夏 日 寄 諒 律 師 
ZH_X56_0949_041:0924c19	　澄江杳杳映千峰　　坐夏巖房一望中	041	 澄 江 杳 杳 映 千 峰   坐 夏 巖 房 一 望 中 
ZH_X56_0949_041:0924c20	　晝講疎鐘清度越　　夜吟殘月冷垂空	041	 晝 講 疎 鐘 清 度 越   夜 吟 殘 月 冷 垂 空 
ZH_X56_0949_041:0924c21	　埽軒靜避堦稜蘚　　銷暑閑當竹罅風	041	 埽 軒 靜 避 堦 稜 蘚   銷 暑 閑 當 竹 罅 風 
ZH_X56_0949_041:0924c22	　顧我相懷未能去　　水邊斜日照梧桐	041	 顧 我 相 懷 未 能 去   水 邊 斜 日 照 梧 桐 
ZH_X56_0949_041:0924c23	寄遠	041	寄 遠 
ZH_X56_0949_041:0924c24	　車聲日日碾紅埃　　何事良人獨未迴	041	 車 聲 日 日 碾 紅 埃   何 事 良 人 獨 未 迴 
ZH_X56_0949_041:0925a01	　苔鏁洞房書久絕　　月明深夜鴈空來	041	 苔 鏁 洞 房 書 久 絕   月 明 深 夜 鴈 空 來 
ZH_X56_0949_041:0925a02	　寒侵竹葉難成醉　　塵暗菱花更懶開	041	 寒 侵 竹 葉 難 成 醉   塵 暗 菱 花 更 懶 開 
ZH_X56_0949_041:0925a03	　杳杳雲山不知處　　夕陽頻上最高臺	041	 杳 杳 雲 山 不 知 處   夕 陽 頻 上 最 高 臺 
ZH_X56_0949_041:0925a04	寄文照大師	041	寄 文 照 大 師 
ZH_X56_0949_041:0925a05	　兩制音書數往來　　城中棲隱遠塵埃	041	 兩 制 音 書 數 往 來   城 中 棲 隱 遠 塵 埃 
ZH_X56_0949_041:0925a06	　吟齋夜靜開明月　　講石秋深掃綠苔	041	 吟 齋 夜 靜 開 明 月   講 石 秋 深 掃 綠 苔 
ZH_X56_0949_041:0925a07	　出俗舊題留雪苑　　臥雲幽興夢天台	041	 出 俗 舊 題 留 雪 苑   臥 雲 幽 興 夢 天 台 
ZH_X56_0949_041:0925a08	　林間抱疾懷高趣　　翻笑湯休謾有才	041	 林 間 抱 疾 懷 高 趣   翻 笑 湯 休 謾 有 才 
ZH_X56_0949_041:0925a09	贈辯才大師	041	贈 辯 才 大 師 
ZH_X56_0949_041:0925a10	　兩受皇恩萬慮休　　浙陽高臥謝諸侯	041	 兩 受 皇 恩 萬 慮 休   浙 陽 高 臥 謝 諸 侯 
ZH_X56_0949_041:0925a11	　定迴幽室苔痕老　　講徹閑庭樹影秋	041	 定 迴 幽 室 苔 痕 老   講 徹 閑 庭 樹 影 秋 
ZH_X56_0949_041:0925a12	　天竺雲泉時掛夢　　梁園風景懶重游	041	 天 竺 雲 泉 時 掛 夢   梁 園 風 景 懶 重 游 
ZH_X56_0949_041:0925a13	　溪聲柏子將誰說　　默倚禪床自點頭(大師講外	041	 溪 聲 柏 子 將 誰 說   默 倚 禪 床 自 點 頭  大 師 講 外 
ZH_X56_0949_041:0925a14	深於禪學)	041	深 於 禪 學  
ZH_X56_0949_041:0925a15	孤山閑居即事寄己師	041	孤 山 閑 居 即 事 寄 己 師 
ZH_X56_0949_041:0925a16	　年過不惑鬢成絲　　偶到林間便卜居	041	 年 過 不 惑 鬢 成 絲   偶 到 林 間 便 卜 居 
ZH_X56_0949_041:0925a17	　學道未忘山水癖　　愛閑終與利名疎	041	 學 道 未 忘 山 水 癖   愛 閑 終 與 利 名 疎 
ZH_X56_0949_041:0925a18	　夜涼危閣來明月　　風靜平湖瀁碧虗	041	 夜 涼 危 閣 來 明 月   風 靜 平 湖 瀁 碧 虗 
ZH_X56_0949_041:0925a19	　迴首權豪絕相識　　野雲孤鶴自相於	041	 迴 首 權 豪 絕 相 識   野 雲 孤 鶴 自 相 於 
ZH_X56_0949_041:0925a20	次韻詶聞聰上人春日書懷見寄	041	次 韻 詶 聞 聰 上 人 春 日 書 懷 見 寄 
ZH_X56_0949_041:0925a21	　景色融融萬卉新　　潛知青帝又東巡	041	 景 色 融 融 萬 卉 新   潛 知 青 帝 又 東 巡 
ZH_X56_0949_041:0925a22	　陰崖竹樹猶欹雪　　暖砌鸎花已覺春	041	 陰 崖 竹 樹 猶 欹 雪   暖 砌 鸎 花 已 覺 春 
ZH_X56_0949_041:0925a23	　吟苦漸驚華髮亂　　身閑終忌俗流親	041	 吟 苦 漸 驚 華 髮 亂   身 閑 終 忌 俗 流 親 
ZH_X56_0949_041:0925a24	　寥寥此意將誰說　　迴首禪門有故人	041	 寥 寥 此 意 將 誰 說   迴 首 禪 門 有 故 人 
ZH_X56_0949_041:0925b01	春日閑居即事寄元敏上人	041	春 日 閑 居 即 事 寄 元 敏 上 人 
ZH_X56_0949_041:0925b02	　門掩平湖避俗囂　　靜觀風景識春朝	041	 門 掩 平 湖 避 俗 囂   靜 觀 風 景 識 春 朝 
ZH_X56_0949_041:0925b03	　庭梅向日花全拆　　岳樹連雲雪未消	041	 庭 梅 向 日 花 全 拆   岳 樹 連 雲 雪 未 消 
ZH_X56_0949_041:0925b04	　少壯可驚年暗減　　幽棲翻覺睡偏饒	041	 少 壯 可 驚 年 暗 減   幽 棲 翻 覺 睡 偏 饒 
ZH_X56_0949_041:0925b05	　相知賴有曹溪子　　禪外時來慰寂寥	041	 相 知 賴 有 曹 溪 子   禪 外 時 來 慰 寂 寥 
